id,shares
1,-275.05230866173514
2,905.7859114528644
3,889.7036640576325
4,1963.7012942964961
5,1807.2718921309654
6,2030.5215755102413
7,879.7942994187804
8,546.273581443068
9,627.6727752299644
10,625.9242601080368
11,2297.6029170987927
12,1534.2533712334593
13,2823.0767258124697
14,2438.191934098459
15,1783.963976887657
16,5135.474152673004
17,2379.1550001531255
18,4488.476046389411
19,1330.7180671878414
20,2513.8422989154164
21,2657.8118149924753
22,1073.1764818520783
23,2254.3295833952448
24,5509.4319497013175
25,1220.6653051310066
26,1464.956372057135
27,1371.6226748933523
28,1490.6157783522672
29,2178.707736809345
30,1830.5548064136397
31,788.2150707925957
32,1994.095683472216
33,1018.2516397874142
34,1563.2477639272138
35,1040.9445478795274
36,2231.4811264234295
37,5547.748474490818
38,1889.5692615740563
39,2674.302374564641
40,1675.4344570804865
41,3062.4980059665736
42,3991.93430063422
43,292.9784290731846
44,1536.5905131862983
45,1456.9362972637673
46,1922.8829884511285
47,603.8379419977479
48,1449.4799830031257
49,1512.5229977070005
50,2179.4365449520815
51,1744.7873503075407
52,1952.2595671385372
53,2299.176909869813
54,3231.5428003150387
55,4197.461806740917
56,2070.44434204331
57,1927.3418582216264
58,4690.439067842803
59,1083.7616626950712
60,1739.7232376758227
61,2549.3677307271732
62,1735.972764949815
63,1646.8132929843698
64,4144.38181751989
65,1066.4627764974898
66,4600.584274069244
67,874.9283940190646
68,1764.369197011332
69,1969.5480799022414
70,4608.376015946823
71,1574.4317283382516
72,1805.5398040670934
73,2041.5508062929682
74,4842.5060668149945
75,1989.6458965573026
76,2537.071888601366
77,3028.331323337092
78,2753.7724997523696
79,4853.51181418446
80,3211.5163213932174
81,2149.6410456850986
82,2762.4209896541356
83,1940.4276262701248
84,2129.575494785838
85,2291.0351465756444
86,2691.51272801272
87,2382.6419014193348
88,2396.7802076411967
89,3060.1504234343297
90,3968.6664227939964
91,4888.122583418337
92,2187.908031416227
93,2925.582886804872
94,7343.821316243175
95,2691.0606363086067
96,3440.6719418534776
97,1256.4679456796707
98,1613.7378401399956
99,2234.629909156813
100,2382.5284268242326
101,1964.3814793250947
102,1343.875193960258
103,1516.743086216117
104,1999.3220130337081
105,1715.4672418489838
106,2622.1627896275486
107,1691.6468544408967
108,1294.489890613529
109,2245.93886670877
110,1688.5553254623103
111,1409.628675691584
112,2329.9861882259324
113,1996.3766317633444
114,159.13749109536417
115,2178.415434709051
116,825.5678574457561
117,3509.8931852738638
118,2277.377465704867
119,1895.6929031005068
120,1193.1625864147022
121,5534.860211005222
122,2244.4683284173757
123,1454.9660019551793
124,2137.786001780824
125,5758.380254729052
126,1745.3884545728565
127,1735.2600788796763
128,1676.4956209752736
129,1312.084578882499
130,2145.0167504886235
131,1693.2272837164642
132,2159.882691575817
133,1564.4665181158678
134,2569.1563057339295
135,1938.251384316682
136,2221.6596051998026
137,2305.145950673099
138,5490.2260926280505
139,1942.5689495436777
140,2404.175481154669
141,6466.313937936604
142,1478.826872704121
143,2888.131287874958
144,95.48454853731668
145,794.362004852383
146,2173.5196889421504
147,1294.5874441585395
148,2100.55045130967
149,1081.7850278835156
150,1910.4795300481242
151,2067.113551026819
152,813.1455113037805
153,2743.6769262778644
154,1987.1443933914948
155,1834.5968691769267
156,1534.7562276142617
157,1917.9713008808324
158,2899.8749976274416
159,2719.6727986188603
160,2479.967223644338
161,1054.7399167622143
